activity_id,goal,target,actual,progress_note
ACT-014,Workforce readiness,100,98,Two cohorts completed; employer partners hired 40 percent of graduates within three months.
ACT-015,Access and equity,300,316,"Outreach reached six rural districts, exceeding the target by a wide margin."
ACT-016,Retention,200,244,Retention held steady despite a funding gap mid-year; mentoring was the key factor.
ACT-017,Community partnerships,150,165,"Signed three new community partners; one pulled out late, slowing the final quarter."
ACT-018,Workforce readiness,200,181,Scholarship uptake was slower than planned until we simplified the application.
ACT-019,Access and equity,250,214,"Participant satisfaction was high, but data collection lagged behind the schedule."
ACT-020,Retention,200,201,"Met the enrollment goal early, so we added a second workshop series."
ACT-021,Community partnerships,100,80,Employer feedback shaped a new module that improved the placement rate.
ACT-022,Workforce readiness,300,374,Two cohorts completed; employer partners hired 40 percent of graduates within three months.
ACT-023,Access and equity,100,83,"Outreach reached six rural districts, exceeding the target by a wide margin."
ACT-024,Retention,150,154,Retention held steady despite a funding gap mid-year; mentoring was the key factor.
ACT-025,Community partnerships,150,182,"Signed three new community partners; one pulled out late, slowing the final quarter."
ACT-026,Workforce readiness,100,119,Scholarship uptake was slower than planned until we simplified the application.
ACT-027,Access and equity,200,185,"Participant satisfaction was high, but data collection lagged behind the schedule."
ACT-028,Retention,250,293,"Met the enrollment goal early, so we added a second workshop series."
ACT-029,Community partnerships,200,215,Employer feedback shaped a new module that improved the placement rate.
ACT-030,Workforce readiness,300,241,Two cohorts completed; employer partners hired 40 percent of graduates within three months.
ACT-031,Access and equity,300,280,"Outreach reached six rural districts, exceeding the target by a wide margin."
ACT-032,Retention,100,122,Retention held steady despite a funding gap mid-year; mentoring was the key factor.
ACT-033,Community partnerships,150,137,"Signed three new community partners; one pulled out late, slowing the final quarter."
ACT-034,Workforce readiness,100,113,Scholarship uptake was slower than planned until we simplified the application.
ACT-035,Access and equity,150,138,"Participant satisfaction was high, but data collection lagged behind the schedule."
ACT-036,Retention,300,268,"Met the enrollment goal early, so we added a second workshop series."
ACT-037,Community partnerships,200,178,Employer feedback shaped a new module that improved the placement rate.
