visit_id,date,time_in,station,wait_min,reason_text
V-10293,2026-05-11,09:30,17,21,Need to drop a class but worried about financial aid impact.
V-10294,2026-05-22,12:30,18,10,Question about which prerequisites I still need for my major.
V-10295,2026-05-07,12:15,10,27,Want to add a minor and figure out if it delays graduation.
V-10296,2026-05-18,13:30,7,29,Confused about the petition process for a late withdrawal.
V-10297,2026-05-26,13:45,15,30,Checking whether my transfer credits actually counted.
V-10298,2026-05-22,12:15,3,20,Need a signature to enroll in an impacted course.
V-10299,2026-05-17,15:30,3,17,Help planning next quarter around a work schedule.
V-10300,2026-05-22,11:15,1,4,Worried about academic probation and what to do next.
V-10301,2026-05-08,15:00,15,28,Asking about study abroad timing versus degree requirements.
V-10302,2026-05-21,14:45,13,17,Just want to confirm I am on track to graduate on time.
V-10303,2026-05-05,09:00,14,16,Need to drop a class but worried about financial aid impact.
V-10304,2026-05-06,15:45,2,37,Question about which prerequisites I still need for my major.
V-10305,2026-05-08,09:45,5,31,Want to add a minor and figure out if it delays graduation.
V-10306,2026-05-22,12:45,17,29,Confused about the petition process for a late withdrawal.
V-10307,2026-05-27,14:15,16,30,Checking whether my transfer credits actually counted.
V-10308,2026-05-09,13:45,8,19,Need a signature to enroll in an impacted course.
V-10309,2026-05-15,12:15,9,23,Help planning next quarter around a work schedule.
V-10310,2026-05-11,09:15,5,16,Worried about academic probation and what to do next.
V-10311,2026-05-13,10:00,14,28,Asking about study abroad timing versus degree requirements.
V-10312,2026-05-11,12:00,7,28,Just want to confirm I am on track to graduate on time.
V-10313,2026-05-13,15:00,13,32,Need to drop a class but worried about financial aid impact.
V-10314,2026-05-01,13:45,14,36,Question about which prerequisites I still need for my major.
V-10315,2026-05-24,15:15,16,16,Want to add a minor and figure out if it delays graduation.
V-10316,2026-05-09,11:45,11,44,Confused about the petition process for a late withdrawal.
V-10317,2026-05-22,10:45,5,41,Checking whether my transfer credits actually counted.
V-10318,2026-05-18,12:00,3,43,Need a signature to enroll in an impacted course.
V-10319,2026-05-14,12:15,2,18,Help planning next quarter around a work schedule.
V-10320,2026-05-13,12:30,11,26,Worried about academic probation and what to do next.
V-10321,2026-05-09,14:30,3,32,Asking about study abroad timing versus degree requirements.
V-10322,2026-05-01,09:30,8,43,Just want to confirm I am on track to graduate on time.
