applicant_id,gpa,prep_index,resources_context,outcome_marker,letter_of_intent
A-2271,3.67,71,no,average,I taught myself statistics from library books because my school had no AP track.
A-2272,3.91,58,yes,thriving,"After my family business closed, I learned to code at night to support us."
A-2273,3.48,72,yes,,I started a peer tutoring group that grew to thirty students in one year.
A-2274,3.1,63,no,struggling,"Research was not offered at my college, so I emailed labs until one said yes."
A-2275,3.77,90,no,thriving,Balancing two jobs and full-time classes taught me to manage anything.
A-2276,3.11,59,yes,,A community college mentor saw something in me before I saw it in myself.
A-2277,3.59,78,yes,average,I rebuilt our robotics club from nothing after the pandemic shut it down.
A-2278,3.21,74,no,struggling,English is my third language; writing this essay is itself a milestone.
A-2279,3.91,68,yes,,I want to study the brain because caring for my grandmother changed me.
A-2280,3.7,77,no,thriving,My internship showed me the gap between theory and practice I want to close.
A-2281,3.77,70,yes,struggling,I taught myself statistics from library books because my school had no AP track.
A-2282,3.89,56,yes,,"After my family business closed, I learned to code at night to support us."
A-2283,3.76,76,no,thriving,I started a peer tutoring group that grew to thirty students in one year.
A-2284,3.88,70,no,struggling,"Research was not offered at my college, so I emailed labs until one said yes."
A-2285,3.81,61,no,,Balancing two jobs and full-time classes taught me to manage anything.
A-2286,3.88,85,yes,struggling,A community college mentor saw something in me before I saw it in myself.
A-2287,3.83,84,no,average,I rebuilt our robotics club from nothing after the pandemic shut it down.
A-2288,3.84,69,yes,,English is my third language; writing this essay is itself a milestone.
A-2289,3.12,67,no,average,I want to study the brain because caring for my grandmother changed me.
A-2290,3.35,59,no,average,My internship showed me the gap between theory and practice I want to close.
A-2291,3.68,80,no,,I taught myself statistics from library books because my school had no AP track.
A-2292,3.95,62,no,struggling,"After my family business closed, I learned to code at night to support us."
A-2293,3.62,71,yes,struggling,I started a peer tutoring group that grew to thirty students in one year.
A-2294,3.64,77,no,,"Research was not offered at my college, so I emailed labs until one said yes."
A-2295,3.49,87,yes,average,Balancing two jobs and full-time classes taught me to manage anything.
A-2296,3.91,67,no,struggling,A community college mentor saw something in me before I saw it in myself.
A-2297,3.74,55,yes,,I rebuilt our robotics club from nothing after the pandemic shut it down.
A-2298,3.43,59,no,thriving,English is my third language; writing this essay is itself a milestone.
