asset_tag,model,purchase_year,cycle_years,replacement_cost,status
AST-10000,Latitude 5430,2018,5,1800,due
AST-10001,OptiPlex 7010,2021,6,1800,ok
AST-10002,MacBook Air M2,2021,4,320,due
AST-10003,ThinkPad T14,2016,5,240,due
AST-10004,ProDisplay 27,2022,5,1450,ok
AST-10005,LaserJet M507,2022,3,1450,due
AST-10006,Surface Pro 9,2022,3,1100,due
AST-10007,UPS 1500VA,2017,4,1450,due
AST-10008,Latitude 5430,2018,3,1250,due
AST-10009,OptiPlex 7010,2016,3,850,due
AST-10010,MacBook Air M2,2018,6,850,due
AST-10011,ThinkPad T14,2021,6,850,ok
AST-10012,ProDisplay 27,2017,4,1800,due
AST-10013,LaserJet M507,2022,4,320,due
AST-10014,Surface Pro 9,2020,5,1800,due
AST-10015,UPS 1500VA,2021,5,850,due
AST-10016,Latitude 5430,2017,5,1450,due
AST-10017,OptiPlex 7010,2023,5,1250,ok
AST-10018,MacBook Air M2,2017,4,850,due
AST-10019,ThinkPad T14,2021,5,1450,due
AST-10020,ProDisplay 27,2018,6,850,due
AST-10021,LaserJet M507,2019,6,1250,due
AST-10022,Surface Pro 9,2018,6,850,due
AST-10023,UPS 1500VA,2020,3,320,due
